redshift,lum_dist
1.53,11179.512817352606
1.54,11269.722262177645
1.55,11360.055855339246
1.56,11450.512612177283
1.57,11541.091560801045
1.58,11631.791741878254
1.59,11722.612208427798
1.6,11813.552025616431
1.61,11904.610270559053
1.62,11995.786032122778
1.6300000000000001,12087.078410734584
1.6400000000000001,12178.486518192465
1.6500000000000001,12270.00947748009
1.6600000000000001,12361.646422584854
1.67,12453.396498319293
1.68,12545.258860145786
1.69,12637.23267400443
1.7,12729.317116144162
1.71,12821.511372956882
1.72,12913.814640814733
1.73,13006.226125910278
1.74,13098.74504409964
1.75,13191.370620748512
1.76,13284.10209058101
1.77,13376.938697531277
1.78,13469.879694597756
1.79,13562.924343700202
1.8,13656.07191553926
1.81,13749.321689458595
1.82,13842.67295330958
1.83,13936.125003318388
1.84,14029.6771439555
1.85,14123.328687807694
1.86,14217.078955452185
1.87,14310.927275333144
1.8800000000000001,14404.872983640502
1.8900000000000001,14498.915424190787
1.9000000000000001,14593.05394831024
1.9100000000000001,14687.287914719998
1.92,14781.616689423348
1.93,14876.039645594976
1.94,14970.556163472262
1.95,15065.165630248446
1.96,15159.86743996774
1.97,15254.660993422387
1.98,15349.545698051403
1.99,15444.520967841227
2.0,15539.586223228129
2.0100000000000002,15634.740891002333
2.02,15729.984404213801
2.0300000000000002,15825.31620207976
2.04,15920.735729893771
2.05,16016.242438936491
2.06,16111.835786387925
2.07,16207.515235241266
2.08,16303.280254218234
2.09,16399.130317685853
2.1,16495.06490557478
2.11,16591.083503298934
2.12,16687.18560167661
2.13,16783.370696852908
2.14,16879.638290223582
2.15,16975.98788836005
2.16,17072.41900293594
2.17,17168.93115065459
2.18,17265.52385317811
2.19,17362.196637057416
2.2,17458.949033663575
2.21,17555.780579120303
2.22,17652.69081423763
2.23,17749.67928444662
2.24,17846.745539735304
2.25,17943.88913458559
2.2600000000000002,18041.109627911304
2.27,18138.40658299727
2.2800000000000002,18235.77956743939
2.29,18333.22815308572
2.3000000000000003,18430.751915978602
2.31,18528.350436297635
2.32,18626.02329830374
2.33,18723.77009028405
2.34,18821.59040449774
2.35,18919.48383712277
2.36,19017.44998820351
2.37,19115.48846159919
2.38,19213.598864933214
2.39,19311.780809543354
2.4,19410.033910432627
2.41,19508.357786221157
2.42,19606.75205909865
2.43,19705.21635477775
2.44,19803.750302448076
2.45,19902.353534731057
2.46,20001.025687635465
2.47,20099.766400513683
2.48,20198.575316018632
2.49,20297.452080061434
2.5,20396.396341769723
2.5100000000000002,20495.40775344666
2.52,20594.485970530477
2.5300000000000002,20693.63065155488
2.54,20792.84145810978
2.5500000000000003,20892.118054802984
2.56,20991.46010922218
2.57,21090.86729189769
2.58,21190.339276265815
2.59,21289.875738632618
2.6,21389.476358138407
2.61,21489.140816722695
2.62,21588.868799089716
2.63,21688.659992674486
2.64,21788.514087609405
2.65,21888.430776691297
2.66,21988.409755349046
2.67,22088.450721611647
2.68,22188.5533760768
